iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
423	260	281	260	342	260	281	342
424	260	279	260	342	260	279	342
425	259	278	259	342	259	278	342
426	259	278	259	342	259	278	342
427	260	279	260	342	260	279	342
428	260	279	260	342	260	279	342
429	260	279	260	342	260	279	342
430	259	278	259	342	259	278	342
431	259	278	259	342	259	278	342
432	259	278	259	342	259	278	342
433	259	278	259	342	259	278	342
434	259	278	259	342	259	278	342
435	260	279	260	342	260	279	342
436	260	279	260	342	260	279	342
437	260	279	260	342	260	279	342
438	260	279	260	342	260	279	342
439	260	279	260	342	260	279	342
440	260	279	260	342	260	279	342
441	260	279	260	342	260	279	342
442	260	279	260	342	260	279	342
443	259	279	259	342	259	279	342
444	259	276	259	342	259	276	342
445	259	276	259	342	259	276	342
446	259	276	259	342	259	276	342
447	259	276	259	342	259	276	342
448	261	278	261	342	261	278	342
449	261	278	261	342	261	278	342
450	261	278	261	342	261	278	342
451	261	278	261	342	261	278	342
452	260	277	260	342	260	277	342
453	260	277	260	342	260	277	342
454	260	277	260	342	260	277	342
455	260	277	260	342	260	277	342
456	260	277	260	342	260	277	342
457	260	277	260	342	260	277	342
458	260	277	260	342	260	277	342
459	260	277	260	342	260	277	342
460	260	277	260	342	260	277	342
461	259	276	259	342	259	276	342
462	259	276	259	342	259	276	342
463	259	276	259	342	259	276	342
464	259	276	259	342	259	276	342
465	259	276	259	342	259	276	342
466	259	276	259	342	259	276	342
467	259	276	259	342	259	276	342
468	259	276	259	342	259	276	342
469	261	280	261	342	261	280	342
470	260	277	260	342	260	277	342
471	261	278	261	342	261	278	342
472	261	278	261	342	261	278	342
473	261	278	261	342	261	278	342
474	261	278	261	342	261	278	342
475	261	278	261	342	261	278	342
476	261	278	261	342	261	278	342
477	261	279	261	342	261	279	342
478	262	280	262	342	262	280	342
479	262	280	262	342	262	280	342
480	262	280	262	342	262	280	342
481	262	279	262	342	262	279	342
482	262	279	262	342	262	279	342
483	262	280	262	342	262	280	342
484	261	279	261	342	261	279	342
485	263	281	263	342	263	281	342
486	264	282	264	342	264	282	342
487	264	282	264	342	264	282	342
488	264	282	264	342	264	282	342
489	264	282	264	342	264	282	342
490	263	281	263	342	263	281	342
491	263	281	263	342	263	281	342
492	264	282	264	342	264	282	342
493	263	281	263	342	263	281	342
494	264	282	264	342	264	282	342
495	264	282	264	342	264	282	342
496	264	282	264	342	264	282	342
497	264	282	264	342	264	282	342
498	264	282	264	342	264	282	342
499	265	285	265	342	265	285	342
500	265	285	265	342	265	285	342
501	265	285	265	342	265	285	342
502	265	283	265	342	265	283	342
503	265	283	265	342	265	283	342
504	265	283	265	342	265	283	342
505	265	283	265	342	265	283	342
506	265	283	265	342	265	283	342
507	265	283	265	342	265	283	342
508	265	283	265	342	265	283	342
509	265	284	265	342	265	284	342
510	265	284	265	342	265	284	342
511	266	285	266	342	266	285	342
512	265	284	265	342	265	284	342
513	265	284	265	342	265	284	342
514	265	284	265	342	265	284	342
515	266	285	266	342	266	285	342
516	266	285	266	342	266	285	342
517	266	285	266	342	266	285	342
518	266	285	266	342	266	285	342
519	266	285	266	342	266	285	342
520	266	285	266	342	266	285	342
521	266	285	266	342	266	285	342
522	266	285	266	342	266	285	342
523	266	285	266	342	266	285	342
524	267	286	267	342	267	286	342
525	267	286	267	342	267	286	342
526	267	286	267	342	267	286	342
527	267	286	267	342	267	286	342
528	267	286	267	342	267	286	342
529	267	286	267	342	267	286	342
530	266	285	266	342	266	285	342
531	267	286	267	342	267	286	342
532	267	286	267	342	267	286	342
533	267	286	267	342	267	286	342
534	267	286	267	342	267	286	342
535	267	286	267	342	267	286	342
536	267	286	267	342	267	286	342
537	267	286	267	342	267	286	342
538	267	286	267	342	267	286	342
539	267	286	267	342	267	286	342
540	268	287	268	342	268	287	342
541	268	287	268	342	268	287	342
542	267	286	267	342	267	286	342
543	268	287	268	342	268	287	342
544	268	287	268	342	268	287	342
545	268	288	268	342	268	288	342
546	268	288	268	342	268	288	342
547	268	288	268	342	268	288	342
548	268	288	268	342	268	288	342
549	268	288	268	342	268	288	342
550	269	289	269	342	269	289	342
551	269	289	269	342	269	289	342
552	268	287	268	342	268	287	342
553	268	287	268	342	268	287	342
554	268	289	268	342	268	289	342
555	268	289	268	342	268	289	342
556	269	288	269	342	269	288	342
557	269	290	269	342	269	290	342
558	269	290	269	342	269	290	342
559	269	290	269	342	269	290	342
560	269	290	269	342	269	290	342
561	269	290	269	342	269	290	342
562	269	289	269	342	269	289	342
563	269	291	269	342	269	291	342
564	269	289	269	342	269	289	342
565	269	291	269	342	269	291	342
566	269	291	269	342	269	291	342
567	268	290	268	342	268	290	342
568	268	290	268	342	268	290	342
569	268	290	268	342	268	290	342
570	269	291	269	342	269	291	342
571	269	291	269	342	269	291	342
572	268	288	268	342	268	288	342
573	269	289	269	342	269	289	342
574	268	288	268	342	268	288	342
575	268	288	268	342	268	288	342
576	268	288	268	342	268	288	342
577	269	288	269	342	269	288	342
578	269	288	269	342	269	288	342
579	270	292	270	342	270	292	342
580	270	292	270	342	270	292	342
581	269	291	269	342	269	291	342
582	269	291	269	342	269	291	342
583	270	292	270	342	270	292	342
584	270	292	270	342	270	292	342
585	269	290	269	342	269	290	342
586	269	290	269	342	269	290	342
587	269	290	269	342	269	290	342
588	269	290	269	342	269	290	342
589	269	290	269	342	269	290	342
590	268	287	268	342	268	287	342
591	268	289	268	342	268	289	342
592	268	289	268	342	268	289	342
593	268	289	268	342	268	289	342
594	268	289	268	342	268	289	342
595	268	289	268	342	268	289	342
596	269	290	269	342	269	290	342
597	269	290	269	342	269	290	342
598	269	290	269	342	269	290	342
599	269	290	269	342	269	290	342
600	269	290	269	342	269	290	342
601	269	290	269	342	269	290	342
602	269	290	269	342	269	290	342
603	269	290	269	342	269	290	342
604	269	290	269	342	269	290	342
605	269	290	269	342	269	290	342
606	269	288	269	342	269	288	342
607	269	288	269	342	269	288	342
608	269	288	269	342	269	288	342
609	269	290	269	342	269	290	342
610	269	290	269	342	269	290	342
611	269	290	269	342	269	290	342
612	269	290	269	342	269	290	342
613	269	290	269	342	269	290	342
614	269	290	269	342	269	290	342
615	269	290	269	342	269	290	342
616	269	290	269	342	269	290	342
617	269	290	269	342	269	290	342
618	269	290	269	342	269	290	342
619	270	291	270	342	270	291	342
620	270	291	270	342	270	291	342
621	270	289	270	342	270	289	342
622	270	289	270	342	270	289	342
623	270	289	270	342	270	289	342
624	270	289	270	342	270	289	342
625	270	289	270	342	270	289	342
626	270	289	270	342	270	289	342
627	270	289	270	342	270	289	342
628	270	289	270	342	270	289	342
629	270	289	270	342	270	289	342
630	270	289	270	342	270	289	342
631	270	289	270	342	270	289	342
632	270	289	270	342	270	289	342
633	270	289	270	342	270	289	342
634	270	289	270	342	270	289	342
635	270	289	270	342	270	289	342
636	270	289	270	342	270	289	342
637	270	289	270	342	270	289	342
638	270	289	270	342	270	289	342
639	270	289	270	342	270	289	342
640	270	289	270	342	270	289	342
641	270	289	270	342	270	289	342
642	271	290	271	342	271	290	342
643	271	290	271	342	271	290	342
644	271	290	271	342	271	290	342
645	271	290	271	342	271	290	342
646	270	289	270	342	270	289	342
647	271	290	271	342	271	290	342
648	271	290	271	342	271	290	342
649	271	290	271	342	271	290	342
650	271	290	271	342	271	290	342
651	271	291	271	342	271	291	342
652	271	291	271	342	271	291	342
653	271	291	271	342	271	291	342
654	271	291	271	342	271	291	342
655	271	291	271	342	271	291	342
656	271	290	271	342	271	290	342
657	271	290	271	342	271	290	342
658	271	290	271	342	271	290	342
659	271	291	271	342	271	291	342
660	271	291	271	342	271	291	342
661	271	291	271	342	271	291	342
662	271	291	271	342	271	291	342
663	271	291	271	342	271	291	342
664	271	291	271	342	271	291	342
665	271	291	271	342	271	291	342
666	271	291	271	342	271	291	342
667	271	291	271	342	271	291	342
668	271	291	271	342	271	291	342
669	271	290	271	342	271	290	342
670	271	290	271	342	271	290	342
671	271	290	271	342	271	290	342
672	271	290	271	342	271	290	342
673	271	290	271	342	271	290	342
674	271	290	271	342	271	290	342
675	271	290	271	342	271	290	342
676	271	290	271	342	271	290	342
677	271	290	271	342	271	290	342
678	271	290	271	342	271	290	342
679	271	290	271	342	271	290	342
680	271	290	271	342	271	290	342
681	271	290	271	342	271	290	342
682	271	290	271	342	271	290	342
683	271	290	271	342	271	290	342
684	271	290	271	342	271	290	342
685	271	290	271	342	271	290	342
